place,title,msg,price,per_meter,year,area,age,lat,lng,income,loc,place,平均值项:lat,平均值项:lng,平均值项:per_meter,,,,,,,,
兴霞小区,精装复式，领包入住，户型好，采光充足通风好,高楼层 (共6层) | 1998年建 | 3室2厅 | 141.5平米 | 南,870,"61,485",1998,141.5,24,31.21420388,121.379222,73924,1,虹园八村,31.21988667,121.3779592,77445,,,,,,,,
兴霞小区,此房满五年，居家装修，一梯两户，全明户型，配套齐全,高楼层 (共7层) | 1998年建 | 4室2厅 | 139.2平米 | 南,860,"61,782",1998,139.2,24,31.21420388,121.379222,73924,1,虹园六村,31.21695032,121.3728038,68895.85714,,,,,,,,
兴霞小区,税费少 边套全明 中间楼层 采光充足 一梯两户,中楼层 (共7层) | 1998年建 | 1室1厅 | 51.59平米 | 南,340,"65,905",1998,51.59,24,31.21420388,121.379222,73924,1,花园大厦,31.14171984,121.41106,68846,,,,,,,,
利星国际广场,花园社区，全屋金装带地暖，满五年税费少，诚意出售,低楼层 (共38层) | 2006年建 | 3室1厅 | 137平米 | 南,1220,"89,052",2006,137,16,31.2168017,121.431795,73924,1,华航小区,31.2308098,121.4263518,77430,,,,,,,,
利星国际广场,中山公园06年品质小区，二手买进税费少，诚意出售,低楼层 (共35层) | 2006年建 | 3室2厅 | 137.45平米 | 南,1160,"84,395",2006,137.45,16,31.2168017,121.431795,73924,1,华敏世纪广场,31.22284489,121.4409109,87207,,,,,,,,
剑河家苑,房龄新，近地铁，大三房，税费少,低楼层 (共15层) | 2013年建 | 3室1厅 | 95.49平米 | 南,750,"78,543",2013,95.49,9,31.2263803,121.3764559,73924,1,华山花苑,31.20975706,121.4419314,95049.33333,,,,,,,,
剑河小区,近地铁，齐配套，电梯房，低楼层,低楼层 (共14层) | 1995年建 | 2室1厅 | 66.87平米 | 西 北,385,"57,575",1995,66.87,27,31.22457181,121.3750299,73924,1,华松东区 （仙霞西路630弄）,31.21500554,121.3675629,60977.5,,,,,,,,
化纤小区,满五年高楼层采光好精装修拎包入住,高楼层 (共7层) | 1996年建 | 2室2厅 | 48.78平米 | 南 北,435,"89,176",1996,48.78,26,31.21259158,121.4265393,73924,1,华松西区（仙霞西路700弄）,31.21534533,121.3637919,57377.33333,,,,,,,,
北大街31弄,地铁200米，一梯两户，边套客厅带窗，满5V1，中间位置,高楼层 (共6层) | 1981年建 | 2室1厅 | 48.38平米 | 南,327,"67,590",1981,48.38,41,0,0,73924,1,华馨小区,31.23017863,121.4267156,84576,,,,,,,,
北平南园,户型方正，业主诚意出售，动迁房。,低楼层 (共7层) | 2015年建 | 4室2厅 | 132.2平米 | 南,1080,"81,695",2015,132.2,7,31.22752021,121.3697843,73924,1,华秀小区,31.23048883,121.4289111,80383,,,,,,,,
北汪小区,江苏路愚园路两房一厅中间楼层南北套,中楼层 (共6层) | 1994年建 | 2室1厅 | 61.81平米 | 南,550,"88,983",1994,61.81,28,31.22417639,121.4397089,73924,1,华阳公寓,31.23122712,121.4274088,89714,,,,,,,,
北汪小区,地铁口+低总价+地段好+南北通,高楼层 (共6层) | 1994年建 | 2室0厅 | 56.2平米 | 南 北,510,"90,748",1994,56.2,28,31.22417639,121.4397089,73924,1,华苑小区,31.22190186,121.416146,87434.66667,,,,,,,,
北汪小区,江苏路地铁站+南北两房+满五年,低楼层 (共7层) | 1994年建 | 2室1厅 | 61.92平米 | 南,630,"101,745",1994,61.92,28,31.22417639,121.4397089,73924,1,华云大楼,31.21343695,121.4308144,81098,,,,,,,,
